key,sw
p52,Hifadhi orodha ya mawasiliano ya mtu muhimu kwenye simu yako na pia uwe na toleo lililochapishwa la kuhifadhi nakala.
p53,Afya na usalama
p54,Hakikisha kuwa uko katika hali nzuri ya kufanya wasifu wa uvuvi. Leta kitanda muhimu cha huduma ya kwanza.
p55,Mwongozo Wa Majadiliano Ya Kikundi Cha Kuzingatia
p56,"Yafuatayo ina mwongozo na mapendekezo juu ya kufanya kundi lengo kukamata jamii profiling habari. Kufanya kikao cha kikundi cha kuzingatia kunapendekezwa kuhamasisha mazungumzo, kukamata maoni anuwai, na kuanza kujenga uhusiano na wanajamii muhimu. Hata hivyo, katika kesi kwamba kundi lengo si inawezekana, jamii profiling utafiti inaweza kufanyika kama mahojiano ya mtu binafsi na wadau muhimu kwa kutumia ""Jamii Profiling Utafiti"" Kobo fomu. Kwa ujumla, lengo la zoezi la kuelezea jamii, iwe katika kikundi cha lengo au muundo wa mahojiano ya mtu binafsi, ni kuelewa mazingira ya jumla ya jamii na uvuvi unaofanya kazi ndani ya jamii."
p57,Kabla ya kufanya kikundi cha kuzingatia
p58,"Kabla ya kuwa mwenyeji wa kikundi rasmi cha kuzingatia uvuvi, inashauriwa kufanya mazungumzo yasiyo rasmi na uchunguzi wa washiriki. Njia hii inamaanisha kutumia muda, kujenga mahusiano, na kuelewa uvuvi kwa kutumia mazungumzo yasiyo rasmi na uchunguzi wa washiriki."
p59,"Mazungumzo yasiyo rasmi ni muhimu kuelewa vizuri mazingira ya uvuvi wa jumla kabla ya kufanya majadiliano ya kikundi cha lengo. Tumia njia hii kama moja ya sehemu za kuanzia kuunda yaliyomo kwenye majadiliano ya kikundi cha kuzingatia. Njia hii itakuruhusu kujua jamii ya uvuvi, kuanza kujenga uhusiano, na kupata uaminifu."
p60,Vidokezo vilivyopendekezwa vya kufanya mazungumzo yasiyo rasmi:
tip1,"Heshimu tofauti za kitamaduni. Zingatia kanuni za kijamii kama vile salamu zinazokubalika, kanuni za mavazi, na kuheshimu mazoea ya kidini. Kuwa na adabu, unyenyekevu, na usikilize maoni ya wadau bila kulazimisha yako mwenyewe. Kukaa ndani ya jamii, kujenga uhusiano, na kushiriki chakula kunaweza kusaidia kujenga uaminifu."
tip2,"Tumia muda na wadau. Hakuna njia ya mkato ya kupata uaminifu na msaada. Hasa ndani ya jamii ni vizuri kuonekana, kutumia muda katika vijiji na kukutana na watu. Kuwa tayari kujadili maswala mapana ndani ya jamii. Usijaribu kushinikiza ajenda moja."
tip3,"Tumia lugha ya kienyeji ikiwezekana, isipokuwa lugha ya kawaida inapatikana. Vinginevyo, tumia mkalimani. Jihadharini na makosa katika tafsiri. Tafsiri ya msalaba kati ya mkalimani zaidi ya mmoja inaweza kusaidia kupunguza tafsiri mbaya."
tip4,"Usitoe ahadi ambazo haziwezi kutimizwa. Kuwa wazi juu ya malengo na matokeo yanayotarajiwa bila kuongeza matarajio. Hii ni muhimu kusisitiza mapema ili jamii ziwe na uelewa wazi juu ya jukumu la mshirika wa kiufundi, i.e. kuwezesha kufungwa kwa uvuvi wa pweza, sio kuchimba visima au kukarabati shule. Ni muhimu kuhakikisha kila mtu anafahamu kile shirika linaweza na haliwezi kufanya ndani ya jamii. Kuhakikisha matarajio ya kweli husaidia kupunguza tamaa, malalamiko, na migogoro wakati mradi unaendelea."
tip5,Wasiliana na mipango na shughuli kwa upana. Hakikisha mikutano au shughuli zozote zimepangwa mapema na kwa nyakati na maeneo yanayokubalika ili kuongeza mahudhurio. Hakikisha mabadiliko yoyote katika mipango na shughuli zinawasilishwa mapema iwezekanavyo. Kuwa kwa wakati na kushikamana na makubaliano husaidia kujenga uaminifu na ujasiri kati ya wadau.
tip6,Daima tambua wadau katika matokeo ya mradi kama vile ripoti na kutolewa kwa vyombo vya habari ndani ya mikutano ya wadau na mawasilisho ya nje. Jihadharini na habari 'umiliki' na uheshimu usiri na faragha.
p61,"Kuelewa vizuri mazingira ya wadau katika jamii ni lengo muhimu katika kufanya uhifadhi usio rasmi na uchunguzi wa washiriki. Wadau huathiri au wanaweza kuathiriwa na vitendo vya shirika. Msaada wao ni muhimu kwa mafanikio ya shirika katika kutekeleza mipango ya usimamizi wa uvuvi. Kwa kuelewa vizuri wadau, utawatambua kwa ufanisi wadau wanaohusika katika ufuatiliaji wa uvuvi wa baadaye kwa usimamizi wa uvuvi katika eneo lao."
examples,Mifano ya aina ya wadau kwa ni pamoja na:
example1,Wavuvi
example2,Mkuu wa kijiji
example3,Imani / viongozi wa dini
example4,Mkuu wa wilaya
example5,Mfanyakazi wa afya ya jamii/mtaalamu wa afya
example6,Kijiji mnunuzi/supplier
example7,Kiwanda cha usindikaji
example8,Wanawake katika kijiji / wake wa wavuvi
p62,Taarifa zitakazokusanywa kuhusu wadau:
point47,"Habari kuhusu wadau muhimu na nafasi zao kuhusiana na malengo ya chombo (kiwango cha msaada, nguvu, nk.). Habari hii inaweza kutumika kutambua ambayo wadau ni pamoja na katika jamii profiling focus group."
p63,"Baada ya kufanya mazungumzo yasiyo rasmi, hatua inayofuata unaweza kufanya ni uchunguzi wa washiriki. Uchunguzi ni njia ambayo hukuruhusu kutumia hafla zinazokuzunguka kukusanya dalili na kutoa hitimisho juu ya maeneo maalum au uzoefu kwa kutazama siku katika kijiji cha uvuvi. Njia hii ni muhimu kukusanya ushahidi kutoka kwa habari iliyotolewa katika mazungumzo yasiyo rasmi. Njia hii hukuruhusu kuelewa shughuli za maisha ya kila siku ya kijiji cha uvuvi."
p64,Taratibu Za Kikundi Cha Kuzingatia
2a,Kuandaa kikundi cha kuzingatia
2a.1,"Ni muhimu kudumisha uhusiano mzuri na jamii zinazolengwa. Kwa hiyo, popote ambapo vijiji vinavyowezekana vinapaswa kuarifiwa kuhusu mpango wa mkutano wa kikundi cha lengo angalau wiki mbili mapema."
2a.2,"Kama kijiji ina simu ya mkononi mapokezi, wito mkuu wa kijiji au mawasiliano mengine ya ndani ((s)."
2a.3,"Kama kijiji haina simu ya mkononi mapokezi, kufanya ziara ya kijiji kukutana na mkuu wa kijiji au mawasiliano mengine ya ndani ((s)."
2a.4,"Wakati wa simu hii au kutembelea na rais wa kijiji au mawasiliano mengine ya ndani, eleza yafuatayo:"
2a.4.1,Lengo la mkutano
2a.4.2,Mahali pa mkutano
2a.4.3,Tarehe na wakati wa mkutano
2a.4.4,Njia ya kuwajulisha washiriki wa mkutano
2a.4.5,Idadi ya washiriki
2a.4.5.1,Wanakijiji wote au watu maalum kulingana na wavuvi bora (2)
2a.4.5.2,Wavuvi wa mara kwa mara (2)
2a.4.5.3,Wavuvi wanaotembelea maeneo mbalimbali ya uvuvi (2)
2a.4.5.4,Wavuvi wanaoheshimiwa vyema ikiwezekana na uzoefu katika ramani (2)
2a.5,"Wanawake-angalia na mkuu wa kijiji ikiwa kikundi cha kuzingatia kinaweza kufanyika na jinsia zote zipo pamoja mapema kama ilivyo katika maeneo mengine, hii haiwezekani kila wakati."
2a.6,"Jaribu kuzuia kufanya mikutano wakati wa mawimbi ya chemchemi/msimu wa uvuvi wa juu, kwani wavuvi wengi wanaohitajika watakuwa na shughuli nyingi za uvuvi."
2a.7,Hakikisha kuangalia ratiba za miradi mingine ambayo inaweza kuwa inafanya kazi katika eneo moja kwa wakati mmoja ili kuepuka mapigano.
2b,Timu ya kikundi cha lengo
p65,"Yafuatayo ni majukumu yaliyopendekezwa kwa timu inayoongoza kundi la lengo. Kwa kiwango cha chini, kikundi cha kuzingatia kinapaswa kuwa na mwezeshaji na mpokeaji wa maandishi."
p66,Mwezeshaji mkuu: Anaongoza na kudhibiti mkutano
2b.1,Huanzisha mkutano
2b.2,Inawezesha tukio hilo
2b.3,Inasimamia mchakato
2b.4,Hufanya kama kichocheo kati ya watu wa kikundi
2b.5,Hupata njia za kuunganisha watu wakuu na watulivu na kuhakikisha kuwa washiriki wote wa kikundi wanaweza kutoa maoni yao
2b.6,Hakikisha kwamba kikundi kinaendelea na mada lakini pia ni rahisi katika kushughulikia habari muhimu zaidi
2b.7,Rudia kwa maneno yako mwenyewe kile watu wanasema ili kudhibitisha kuwa kuna uelewa mzuri wa majadiliano
2b.8,Inachukua usimamizi wa wakati
p67,"Msaidizi wa mwezeshaji: Husaidia mwezeshaji anayeongoza, haswa katika kuonyesha misaada ya kuona"
2b.9,Inasaidia note-taker katika kukusanya taarifa zote muhimu
2b.10,"Inaongoza kuonyesha misaada ya kuona na husaidia na vipengele vingine vya maingiliano ya mkutano kama vile kuhesabu kura, kuchukua maelezo ambayo yanaonyeshwa, kupitisha vifaa, nk."
2b.11,Huleta pamoja nyenzo muhimu
2b.12,"Husaidia mwezeshaji kwa njia isiyo ya moja kwa moja kwa kutoa ishara (kwa mfano, kuonyesha wale wanaotaka kuzungumza)."
2b.13,"Inasaidia mwezeshaji moja kwa moja kwa kuuliza maswali, ikiwa hali inahitaji."
p68,Kumbuka-taker: Nyaraka mkutano
2b.14,Inaangalia tukio kutoka nyuma
2b.15,Inachukua majibu yote. Inasaidia kuchapisha orodha ya maswali ili iweze kuelezewa na maelezo wakati wa mkutano.
2b.16,Anaandika habari zote muhimu
2b.17,"Maelezo ni nani anayezungumza. Je, kuna ushiriki sawa wa wote au watu wengine wanatawala mchakato? Wanawake wanazungumza?"
2c,Washiriki wa kikundi cha kuzingatia
p69,"Panga kwa uangalifu ni nani wa kukaribisha kwenye mkutano wa kikundi cha kuzingatia. Kutambua watu 10-12 inashauriwa kuhakikisha ukubwa ni kusimamiwa, kuruhusu uwakilishi wa kutosha wa mitazamo tofauti. Kama iwezekanavyo, ni pamoja na wawakilishi kutoka makundi mbalimbali ya wadau na sekta za jamii (tazama mifano ya aina ya wadau katika sehemu ya juu). Wakati wa kuchagua washiriki, akaunti kwa ajili ya maarifa yao na majukumu katika jamii. Kuwakaribisha watu wenye ujuzi zaidi juu ya uvuvi na jamii, kama vile mvuvi wa wakati wote badala ya mvuvi wa burudani wa mara kwa mara, itatoa habari thabiti zaidi na sahihi. Kutambua na kuwakaribisha watu ambao wanaheshimiwa sana katika jamii husaidia kujenga uaminifu."
2d,Majadiliano vifaa na mbinu
p70,"Data inaweza kukamatwa katika ""Community Profiling Survey"" Kobo fomu. Hata hivyo, inaweza kuwa rahisi kwa mtoa maelezo kukamata data kupitia maelezo yaliyoandikwa ili kukamata kwa urahisi nuances na habari inayotokana na majadiliano ya kikundi, kama vile majibu tofauti kwa kila mhojiwa."
p71,"Ikiwa habari inakusanywa kwa kuchukua maelezo. Baada ya mkutano wa kikundi cha lengo kukamilika, majibu yanapaswa kuingizwa katika fomu Ya Kobo Ya ""Utafiti wa Profaili ya Jamii""."
p72,Wahimize washiriki wote wa kikundi kuzungumza kwani wanawakilisha mchanganyiko wa umri na msimamo wa kijamii ambao unaweza kuwa na uzoefu tofauti wa uvuvi.
p73,"Kuuliza maswali moja kwa moja kwa kikundi na kusubiri wajitolea kujibu ni njia moja ya kuongoza majadiliano. Hata hivyo, tofauti jinsi mwezeshaji anaomba majibu inaweza kusaidia kuweka majadiliano ya kuvutia na pia kuhakikisha kwamba sauti zote ni kusikia na washiriki chini ya sauti ni uwezo wa kushiriki. Kabla ya kuanza kikundi cha kuzingatia, fikiria jinsi ungependa kupata majibu kwa kila swali lililopangwa."
2d.1,Fungua jukwaa-Mtu yeyote anaweza kujibu swali na kuzungumza.
2d.2,"Piga simu kwa washiriki maalum-Hii inaweza kusaidia kuhakikisha kuwa washiriki wa sauti ndogo wanapewa nafasi ya kuzungumza. Hii inaweza kutumika baadaye katika majadiliano mara moja mwezeshaji ana hisia ambayo washiriki wanaweza kufaidika kutokana na kuitwa. Vinginevyo, mwezeshaji anaweza kutumia mbinu hii wakati wanajua mshiriki fulani ana maarifa muhimu au habari inayohusiana na swali."
2d.3,"Jibu la haraka-Nenda kwenye mduara na kila mtu anashiriki kwa ufupi maoni/majibu yake kwa swali. Hii inaweza kuwa na ufanisi katika kupigia kura watazamaji kwani inahusisha kila mtu. Walakini, hakikisha kuwasiliana wazi na kutekeleza mipaka ya wakati au njia hii inaweza kuishia kumaliza muda mwingi wa majadiliano."
2d.4,Vote-Poll watazamaji kwa kuuliza swali na kuwa na watu kuinua mkono wao kwa mujibu wa chaguzi mbalimbali majibu. Hii inaweza kufanywa wazi au bila kujulikana na macho yamefungwa au na watu wanaandika majibu yao kwenye vipande vya karatasi vilivyokunjwa ambavyo hukusanywa.
2d.5,"Vikundi-Gawanya kikundi katika vikundi vidogo vinavyojadili na kuripoti kwa kikundi kikuu. Mbinu hii inasaidia sana na vikundi vikubwa wakati hakuna wakati wa kutosha kwa washiriki wote wa kikundi kushiriki katika mkutano kamili wa kikundi. Katika hali hii, hakikisha kwamba kila kikundi kina wadau wanaowakilisha maoni na mitazamo tofauti."
p74,Maswali Ya Kikundi Cha Kuzingatia
p75,"Anza kikundi cha kuzingatia kwa kujitambulisha, mradi, na lengo la mkutano. Kisha, kila mtu ndani ya chumba ajitambulishe. Panga njia bora kwa kila swali kupata na kukusanya majibu kabla (angalia sehemu hapo juu kwa maoni). Tafadhali angalia waraka Wa Utafiti Wa Jamii Kwa orodha kamili ya maswali ya kikundi cha kuzingatia kutembea."
p76,Rasilimali za uwezeshaji (inapatikana kwa kiingereza)
