key,mg
p34,"Raha havaozina ho azy ny endrika tranonkala rehefa misy ny kinova fanadihadiana vaovao, ny mpampiasa dia tsy maintsy manamboatra ny ""auto-update"" ao amin'ny fampiharana. Ny fanavaozana tsy tapaka ny fanadihadiana ao amin'ny fampiharana dia miantoka ny fampiasana ny dikan-teny farany amin'ny endrika ary tsy miteraka olana amin'ny fantsona data. Azonao atao ny manangana fanavaozana mandeha ho azy ao amin'ny fampiharana amin'ny alàlan'ny fandehanana any amin'ny ""Settings"" sy ""Form Management.""Azo jerena ao amin'ny pejy Fananganana kobo ny fampahalalana bebe kokoa momba ny fanavaozana ho azy ny fanadihadiana ao amin'ny fampiharana. Zava-dehibe ny manamarika fa ilaina ny fifandraisana mba hisintonana ny kinova fanadihadiana farany indrindra ny fampiharana, na dia efa mandeha aza ny fanavaozana mandeha ho azy. Noho izany, manoro hevitra ireo mpanisa mba hanana fifandraisana aterineto alohan'ny hanaovana asa eny an-kianja mba Hahafahan'ny kobocollect misintona ny kinova farany."
p35,"Aorian'ny fanangonana angon-drakitra, ny fanadihadiana alefa amin'ny alàlan'ny endrika tranonkala dia halefa ho azy any amin'ny mpizara raha vao mahatratra ny bokotra ""Alefaso"" ny mpanangona angona. Ny angon-drakitra nangonina tamin'ny alalan'ny fampiharana kobocollect dia voatahiry voalohany tao amin'ny fampiharana tao amin'ny toerana iray ary avy eo natosika tany amin'ny mpizara. Mijanona eo am-piandrasana ny fanadihadiana vita alohan'ny handefasana azy any amin'ny mpizara mba hahafahan'ny mpanangona angon-drakitra manao fanovana fanadihadiana aorian'ny fanangonana angon-drakitra, na raha tsy misy fifandraisana internet, ny fampiharana dia afaka mamonjy ny fanadihadiana ary avy eo manosika ny fanadihadiana any amin'ny mpizara raha vao misy fifandraisana internet. Raha ny marina, rehefa vita ny fanadihadiana, ny mpampiasa dia hamely Ny ""Save form and exit"", miantoka fa ny ""Mark form as finalized"" dia voamarina ihany koa. ""Hanova Ny Endrika Voatahiry"" dia mitahiry ho azy ny endrika voatahiry. Afaka manao fanovana ilaina ny mpanangona angon-drakitra ary misafidy Ny ""Save Form and Exit.""Ny efijery an-trano koa dia manana bokotra antsoina hoe ""Alefaso Ny Endrika Vita.""Tsindrio Ny Select All (na safidio Ireo tianao hampidirina) ary tsindrio avy eo ""Alefaso Voafantina.""Safidio ny"" View Sent Form "" mba hahazoana antoka fa mahomby amin'ny fampidinana ireo endrika ary tokony ho afaka hijery ireo endrika natolotra rehetra ianao izao."
p36,"Ny rafitra fitehirizana angon-drakitra foibe dia mampifandray amin'ny angon-drakitra Kobo, ary ny famakafakana sy ny sary mandeha ho azy dia ho hita amin'ny alàlan'ny dashboard mahazatra. Ny angon-drakitra manta dia voatahiry ao amin'ny tahiry kobotoolbox ary ho azo alaina amin'ny alàlan'ny fampidinana na rohy mivantana mankany amin'ny tahiry hafa na trano fitehirizana angona."
translations,Fandikan-teny
p37,"Ny fandikan-teny ho an'ny fiteny rehetra dia vita amin'ny fanitsiana ny takelaka fandikan-teny amin'ny Smartsheet. Raha hitanao fa mila fanavaozana ny fandikan-teny na diso amin'ny fanadihadiana, azafady manavao mivantana ny fandikan-teny mifanaraka amin'izany ao amin'ny takelaka Smartsheet mety. Raha mila fandikan-teny vaovao ny ekipan'ny Barefoot Ocean, dia haneho hevitra izy ireo ary hanendry ny asa ho an'ny ekipan'ny firenena."
ref,Rakitra Fanovozan-Kevitra
p38,"Ireo rakitra fanondroana dia mpiara-miasa na manokana ho an'ny firenena ary misy fampahalalana feno momba ny ambaratonga fitantanana ny vondrom-piarahamonina mpanjono (firenena, faritany, distrika, vohitra), toerana fiantsonana, mpanjono, mpividy, mpanangona angona, angon-drakitra karazana, faritra fitantanana, karazana toeram-ponenana, karazana fitaovana ary fikambanana mpiara-miasa. Ny fampahalalana sasany dia mameno ny lisitry ny fihenam-bidy amin'ny fanadihadiana, ary ny sasany dia ampiarahina amin'ny angon-drakitra fototra aorian'ny fanangonana angona. Ny fampahalalana vaovao dia tokony ampiana mivantana amin'ireo takelaka fanovozan-kevitra."
p39,Azo jerena ao amin'ny pejy Reference Files ny toromarika manokana sy tsikelikely momba ny fanavaozana ny rakitra referansa ao amin'ny Smartsheet.
appendixa,Teny Fanampiny A: Torolalana Ho An'ny Fifanakalozan-Kevitra Ho An'ny Vondrona Mifantoka
p40,Fandinihana manan-danja alohan'ny hanaovana profiling na fanadihadiana momba ny jono
p41,Fifandraisana sy fahatokisana
p42,"Ny fananganana fifandraisana sy ny fahazoana fitokisana avy amin'ny vondrom-piarahamonina dia dingana voalohany manan-danja alohan'ny hanontaniany momba ny fampahalalana momba ny jono. Ny dingana voalohany hananganana fifandraisana sy hahazoana fahatokisan'ny vondrom-piarahamonina dia ny fampahafantarana ny tenanao, ny fikambananao ary ny tanjon'ny fanaovana profil momba ny jono."
p43,Fiomanana
p44,"Ny fiomanana dia zava-dehibe amin'ny fanatanterahana ny fomba fanadihadiana tsirairay, satria ny fiomanana tsara dia hanome anao fahatokisana ny fahombiazan'ny fomba tsirairay ampiharinao."
p45,Fotoana hanangonana vaovao
p46,Ampifanaraho amin'ny fotoanan'ny mpamaly na vondron'olona kendrena ny fotoana anaovana ny fomba tsirairay.
p47,Namaly
p48,"Ny fahafantarana ireo mety ho valinteny ho hitanao mandritra ny mombamomba ny jono dia zava-dehibe amin'ny fanaovana fanadihadiana. Tokony hahazo fampandrenesana mialoha ireo vondrona na olona izay ho ao anatin'ny fanadihadiana. Noho izany, ny fampidirana ireo mpitarika vondrom-piarahamonina manan-kery dia tsy maintsy tafiditra ao anatin'ny asa mialoha ny fanadihadiana."
p49,Fitaovana
p50,Ny fomba tsirairay dia manana filana ara-pitaovana sy ara-materialy. Ataovy azo antoka fa efa voaomana ny loharanon-karena sy ny fitaovana ilaina amin'ny fomba tsirairay amin'ny famaritana ny jono.
p51,Lisitry ny fifandraisana amin'ny olona manan-danja
p52,Tehirizo ny lisitry ny fifandraisana amin'ny olona manan-danja amin'ny findainao ary manana dikan-teny vita pirinty ho an'ny backup.
p53,Fahasalamana sy fiarovana
p54,Ataovy azo antoka fa ao anatin'ny toe-javatra tsara ianao mba hitarika ny mombamomba ny jono. Mitondrà kitapo fanampiana voalohany tena ilaina.
p55,Torolalana Ho An'ny Vondrona Mifantoka
p56,"Ireto manaraka ireto dia ahitana torolàlana sy tolo-kevitra momba ny fitarihana vondrona ifantohana mba hisamborana ny fampahalalana momba ny mombamomba ny vondrom-piarahamonina. Ny fanaovana fivoriana vondrona ifantohana dia asaina mandrisika ny fifanakalozan-kevitra, hisambotra ny fahasamihafan'ny hevitra, ary hanomboka hanorina fifandraisana amin'ireo mpikambana manan-danja ao amin'ny fiarahamonina. Na izany aza, raha toa ka tsy azo atao ny vondrona mifantoka, ny fanadihadiana momba ny mombamomba ny vondrom-piarahamonina dia azo atao ho toy ny resadresaka manokana amin'ireo mpandray anjara manan-danja amin'ny fampiasana ny endrika Kobo ""Fanadihadiana momba ny Mombamomba ny Vondrom-piarahamonina"". Amin'ny ankapobeny, ny tanjon'ny fanazaran-tena momba ny mombamomba ny vondrom-piarahamonina, na amin'ny endrika vondrona ifantohana na amin'ny endrika dinidinika isam-batan'olona, dia ny hahatakatra ny tontolo ankapobeny ao amin'ny vondrom-piarahamonina sy ny jono miasa ao anatin'ny vondrom-piarahamonina."
p57,Alohan'ny hanaovana vondrona mifantoka
p58,"Alohan'ny hampiantranoana vondrona mifantoka amin'ny famaritana ny jono ofisialy, dia asaina manao resaka tsy ara-potoana sy fanaraha-maso ny mpandray anjara. Midika izany fa mandany fotoana, manorina fifandraisana, ary mahatakatra ny jono amin'ny alalan'ny resaka tsy ara-potoana sy ny fanaraha-maso ataon'ny mpandray anjara."
p59,"Zava-dehibe ny resaka tsy ara-potoana mba hahatakarana tsara kokoa ny tontolon'ny jono ankapobeny alohan'ny hanaovana fifanakalozan-kevitra amin'ny vondrona ifantohana. Ampiasao ity fomba ity ho iray amin'ireo teboka fanombohana hamolavolana ny atin'ny fifanakalozan-kevitra momba ny vondrona ifantohana. Ity fomba ity dia ahafahanao mahafantatra ny vondrom-piarahamonina mpanjono, manomboka manorina fifandraisana, ary mahazo fitokisana."
p60,Torohevitra soso-kevitra hitarika resaka tsy ara-potoana:
tip1,"Hajao ny fahasamihafana ara-kolontsaina. Tandremo ny fenitra ara-tsosialy toy ny fiarahabana azo ekena, ny fomba fitafy ary ny fanajana ny fombafomba ara-pivavahana. Mahaiza manetry tena, manetry tena ary mihaino ny hevitry ny mpandray anjara nefa tsy mametraka ny anao manokana. Ny fijanonana ao anatin'ny vondrom-piarahamonina iray, ny fananganana fifandraisana ary ny fizarana sakafo dia afaka manampy amin'ny fananganana fitokisana."
tip2,"Mandania fotoana miaraka amin'ireo mpandray anjara. Tsy misy hitsin-dàlana hahazoana fitokisana sy fanohanana. Indrindra ao anatin'ny vondrom-piarahamonina dia tsara ny mahita, mandany fotoana any an-tanàna ary mihaona amin'ny olona. Miomàna hiresaka momba ireo olana midadasika kokoa ao anatin'ny fiarahamonina. Aza manandrana manosika fandaharam-potoana iray manokana."
tip3,"Ampiasao ny fiteny eo an-toerana raha azo atao, raha tsy misy fiteny iraisana azo idirana. Raha tsy izany dia ampiasao mpandika teny. Mitandrema amin'ny fahadisoana amin'ny fandikan-teny. Ny fanamarinana ny fandikan-teny eo amin'ny mpandika teny mihoatra ny iray dia afaka manampy amin'ny fampihenana ny fandikana diso."
tip4,"Aza manao fampanantenana izay tsy azo tazonina. Aza hadino ny tanjona sy ny vokatra andrasana nefa tsy mampiakatra ny andrasana. Zava-dehibe ny manantitrantitra aloha mba hananan'ny vondrom-piarahamonina fahatakarana mazava momba ny andraikitry ny mpiara-miasa ara-teknika, izany hoe hanamora ny fanakatonana ny jono horita, fa tsy handavaka lavadrano na hanamboatra sekoly. Zava-dehibe ny hahazoana antoka fa fantatry ny rehetra ny zavatra azon'ny fikambanana atao sy tsy azony atao ao anatin'ny fiarahamonina. Manampy amin'ny fampihenana ny fahadisoam-panantenana, ny fitarainana, ary ny fifandirana ny fiantohana ny fanantenana azo tanterahina rehefa mandroso ny tetikasa."
tip5,Mampita drafitra sy hetsika betsaka. Hamarino tsara fa misy fivoriana na hetsika kasaina hatao mialoha sy amin'ny fotoana sy toerana mifanaraka mba hampitomboana ny fanatrehana. Ataovy azo antoka fa ny fiovana rehetra amin'ny drafitra sy ny hetsika dia ampitaina haingana araka izay azo atao. Ny fahatongavana ara-potoana sy ny fifikirana amin'ny fifanarahana dia manampy amin'ny fananganana fifampitokisana sy fahatokisana eo amin'ireo mpandray anjara.
tip6,Manaiky hatrany ireo mpandray anjara amin'ny famoahana tetikasa toy ny tatitra sy ny famoahana haino aman-jery ao anatin'ny fivorian'ny mpandray anjara sy ny famelabelarana ivelany. Tandremo ny fampahalalana 'fananana' ary hajao ny tsiambaratelo sy ny tsiambaratelo.
p61,"Ny fahatakarana tsara kokoa ny tontolon'ny mpandray anjara ao amin'ny vondrom-piarahamonina dia tanjona lehibe amin'ny fanatanterahana ny fiarovana tsy ara-potoana sy ny fanaraha-maso ny mpandray anjara. Misy fiantraikany na mety hisy fiantraikany amin'ny fihetsiky ny fikambanana ny mpandray anjara. Tena ilaina ny fanohanan'izy ireo mba hahombiazan'ny fikambanana amin'ny fampiharana ny drafitry ny fitantanana ny jono. Amin'ny fahatakarana tsara kokoa ireo mpandray anjara, dia hamantatra tsara ireo mpandray anjara tafiditra amin'ny fanaraha-maso ny jono ho avy ho an'ny fitantanana ny jono ao amin'ny faritra misy azy ireo ianao."
examples,Ohatra amin'ny karazana mpandray anjara mba ahitana:
example1,Mpanjono
example2,Lehiben'ny tanàna
example3,Finoana / mpitondra fivavahana
example4,Lehiben'ny distrika
example5,Mpiasa ara-pahasalamana ao amin'ny vondrom-piarahamonina/mpitsabo
example6,Mpividy/mpamatsy tanàna
example7,Orinasa fanodinana
example8,Vehivavy ao an-tanàna / vadin'ny mpanjono
p62,Fampahalalana azo angonina momba ireo mpandray anjara:
point47,"Fampahalalana momba ireo mpandray anjara fototra sy ny toerany mifandraika amin'ny tanjon'ny orinasa (haavon'ny fanohanana, fahefana, sns.)). Azo ampiasaina io vaovao io mba hamantarana izay mpandray anjara hampidirina ao amin'ny vondrona ifantohan'ny vondrom-piarahamonina."
p63,"Aorian'ny fanaovana resaka tsy ara-potoana, ny dingana manaraka azonao atao dia ny fandinihana ny mpandray anjara. Ny fandinihana dia fomba iray ahafahanao mampiasa ny zava-mitranga manodidina anao hanangonana famantarana sy hamoahana fehin-kevitra momba ny toerana na traikefa manokana amin'ny fandinihana andro iray ao amin'ny tanàna fanjonoana. Ilaina io fomba io mba hanangonana porofo avy amin'ny vaovao omena amin'ny resaka tsy ara-potoana. Ity fomba ity dia ahafahanao mahatakatra ny asan'ny fiainana andavanandron'ny tanàna fanjonoana."
p64,Fomba Fiasa Amin'ny Vondrona Mifantoka
2a,Fandaminana ny vondrona ifantohana
2a.1,"Zava-dehibe ny fitazonana fifandraisana tsara amin'ireo vondrom-piarahamonina kendrena. Noho izany, raha azo atao dia tokony hampahafantarina ny vohitra ny fandaharan'asa ho an'ny fivorian'ny vondrona mifantoka farafahakeliny tapa-bolana mialoha."
2a.2,"Raha manana fandraisana finday ny tanàna, antsoy ny lehiben'ny tanàna na ny fifandraisana hafa eo an-toerana."
2a.3,"Raha tsy manana fandraisana finday ny tanàna, dia mitsidiha ny tanàna mba hihaona amin'ny lehiben'ny tanàna na ny fifandraisana hafa eo an-toerana."
2a.4,"Mandritra ity antso an-tariby ity na fitsidihana miaraka amin'ny filohan'ny tanàna na fifandraisana hafa eo an-toerana, hazavao izao manaraka izao:"
2a.4.1,Tanjon'ny fivoriana
2a.4.2,Toerana fihaonana
2a.4.3,Daty sy ora fihaonana
2a.4.4,Fomba fampahafantarana ireo mpandray anjara amin'ny fivoriana
2a.4.5,Isan'ny mpandray anjara
2a.4.5.1,Ny mponina rehetra na ny olona manokana mifototra amin'ny mpanjono tsara indrindra (2)
2a.4.5.2,Mpanjono matetika indrindra (2)
2a.4.5.3,Mpanjono izay matetika toerana fanjonoana maro samihafa (2)
2a.4.5.4,Mpanjono hajaina tsara indrindra amin'ny traikefa amin'ny sarintany (2)
2a.5,"Vehivavy-zahao amin'ny lohan'ny tanàna raha toa ka misy ny vondrona mifantoka miaraka amin'ny lahy sy ny vavy miaraka mialoha toy ny any amin'ny faritra sasany, tsy azo atao foana izany."
2a.6,"Miezaha tsy hanao ny fivoriana mandritra ny vanim-potoanan'ny lohataona/vanim-potoanan'ny jono, satria maro amin'ireo mpanjono takiana no mety ho sahirana amin'ny jono."
2a.7,Aza hadino ny manamarina ny fandaharam-potoanan'ny tetikasa hafa izay mety miasa amin'ny faritra iray ihany amin'ny fotoana iray mba hisorohana ny fifandonana.
2b,Ekipa vondrona mifantoka
p65,"Ireto manaraka ireto ny anjara asa natolotry ny ekipa mitarika ny vondrona ifantohana. Raha kely indrindra, ny vondrona mifantoka dia tokony hanana mpanamora sy mpandray naoty."
p66,Mpanamora ny fitarihana: Mitarika sy manelanelana ny fivoriana
2b.1,Mampahafantatra ny fivoriana
2b.2,Manamora ny hetsika
2b.3,Mampihena ny fizotrany
2b.4,Miasa ho toy ny mpanentana eo amin'ny olona ao amin'ny vondrona
2b.5,Mahita fomba fampidirana olona manjaka sy mangina ary manome antoka fa afaka maneho ny heviny ny mpikambana rehetra ao amin'ny vondrona
2b.6,Ataovy azo antoka fa mitazona ny lohahevitra ny vondrona saingy malefaka ihany koa amin'ny fikarakarana fampahalalana manan danja fanampiny
2b.7,Avereno amin'ny teniny manokana izay lazain'ny olona mba hanamafisana fa misy fahatakarana tsara ny fifanakalozan kevitra
2b.8,Mikarakara ny fitantanana fotoana
p67,"Mpanampy mpanamora: Manampy ny mpitarika mpanamora, indrindra amin'ny fampisehoana fitaovana hita maso"
2b.9,Manohana ny mpandray naoty amin'ny fanangonana ny fampahalalana rehetra mifandraika amin'izany
2b.10,"Mitarika ny fampisehoana ireo fitaovana hita maso ary manampy amin'ny singa hafa ifandraisana amin'ny fivoriana toy ny fanisana ny vato, ny fandraisana an-tsoratra izay aseho, ny fizarana fitaovana, sns."
2b.11,Mitondra ny fitaovana ilaina
2b.12,"Manampy ny mpanamora amin'ny fomba tsy mivantana amin'ny fanomezana famantarana (ohatra, manondro ireo izay maniry hiteny)."
2b.13,"Manohana mivantana ny mpanamora amin'ny fametrahana fanontaniana, raha mitaky izany ny toe-javatra."
p68,Fanamarihana: Manoratra Ny fivoriana
2b.14,Mandinika ny hetsika avy any aoriana
2b.15,Misambotra ny valiny rehetra. Manampy ny fanontana ny lisitry ny fanontaniana mba hahafahana manamarika azy amin'ny fanamarihana mandritra ny fivoriana.
2b.16,Manoratra ny fampahalalana manan-danja rehetra
2b.17,Fanamarihana izay miresaka. Misy fandraisana anjara mitovy amin'ny rehetra ve sa misy olona manjaka amin'ny fizotrany? Miresaka ve ny vehivavy?
2c,Mpandray anjara amin'ny vondrona mifantoka
p69,"Manomana tsara izay hanasa ny fivorian'ny vondrona mifantoka. Ny famantarana olona 10-12 dia asaina miantoka ny habeny azo tantanana, mamela ny fanehoana tsara ny fomba fijery samihafa. Araka izay azo atao, ampidiro ny solontena avy amin'ny vondrona mpandray anjara isan-karazany sy ny sehatry ny vondrom-piarahamonina (jereo ohatra amin'ny karazana mpandray anjara ao amin'ny fizarana etsy ambony). Rehefa mifidy mpandray anjara, dia mitantara ny fahalalany sy ny anjara asany eo amin'ny fiarahamonina. Ny fanasana olona manam-pahalalana bebe kokoa momba ny jono sy ny fiaraha-monina, toy ny mpanjono manontolo andro fa tsy mpanjono fialamboly tsindraindray, dia hanome fampahalalana matanjaka sy marina kokoa. Manampy amin'ny fananganana fitokisana ny famantarana sy fanasana olona hajaina tsara eo amin'ny fiaraha-monina."
2d,Fifanakalozan-kevitra momba ny lojika sy ny fomba fiasa
p70,"Azo alaina ao amin'ny endrika Kobo ""Fanadihadiana Momba ny Mombamomba ny Vondrom-piarahamonina"" ny angona. Na izany aza, mety ho mora kokoa ho an'ny mpandray naoty ny maka ny angon-drakitra amin'ny alàlan'ny naoty an-tsoratra mba hisamborana mora kokoa ny nuansa sy ny fampahalalana izay mipoitra avy amin'ny fifanakalozan-kevitra amin'ny vondrona, toy ny valiny samihafa isaky ny mpamaly."
p71,"Raha angonina amin'ny alalan'ny fandraisana an-tsoratra ny vaovao. Rehefa vita ny fivorian'ny vondrona mifantoka, tokony hampidirina ao amin'ny endrika Kobo ""Fanadihadiana Momba ny Mombamomba ny Vondrom-piarahamonina"" ny valiny."
p72,Amporisiho ny mpikambana rehetra ao amin'ny vondrona hiteny satria maneho fifangaroan'ny taona sy ny toerana ara-tsosialy izay mety manana traikefa samihafa amin'ny jono.
p73,"Ny fametrahana fanontaniana tsirairay amin'ny vondrona sy ny fiandrasana ireo mpilatsaka an-tsitrapo hamaly dia fomba iray hitarika fifanakalozan-kevitra. Na izany aza, ny fiovaovan'ny fomba angatahan'ny mpanamora ny valiny dia afaka manampy amin'ny fitazonana ny fifanakalozan-kevitra mahaliana ary koa miantoka fa re ny feo rehetra ary tsy dia afaka mandray anjara ny mpandray anjara amin'ny feo. Alohan'ny hanombohan'ny vondrona ifantohana dia eritrereto ny fomba tianao hamaliana ny fanontaniana kasaina hatao."
2d.1,Open forum-Na iza na iza afaka mamaly ny fanontaniana sy miteny.
2d.2,"Antsoy ny mpandray anjara manokana – izany dia afaka manampy amin'ny fiantohana fa ny mpandray anjara kely kokoa dia omena fahafahana hiteny. Azo ampiasaina izany any aoriana any amin'ny fifanakalozan-kevitra raha vao mahatsapa ny mpandray anjara izay mety handray soa amin'ny fiantsoana azy ny mpanamora. Raha tsy izany, ny mpanamora dia afaka mampiasa io teknika io rehefa fantany fa misy mpandray anjara iray manana fahalalana na fampahalalana manan-danja mifandraika amin'ny fanontaniana iray."
2d.3,"Valiny haingana-Mandehana anaty faribolana ary ny olona tsirairay dia mizara fohifohy ny heviny/valiny amin'ilay fanontaniana. Mety hahomby amin'ny fandatsaham-bato ny mpihaino izany satria mahakasika ny rehetra. Na izany aza, aza hadino ny mifampiresaka mazava sy mampihatra ny fetran'ny fotoana na ity fomba ity dia mety hiafara amin'ny fandaniam-potoana fifanakalozan-kevitra be loatra."
2d.4,Vote-Poll ny mpihaino amin'ny fametrahana fanontaniana ary asaivo manangana ny tanany ny olona mifanaraka amin'ny safidy valiny samihafa. Izany dia azo atao an-karihary na tsy mitonona anarana amin'ny maso mihidy na amin'ny olona manoratra ny valinteniny amin'ny taratasy mivalona izay angonina avy eo.
2d.5,"Vondrona-Mizara ny vondrona ho vondrona kely kokoa izay mifanakalo hevitra sy manao tatitra amin'ny vondrona lehibe. Ity teknika ity dia manampy indrindra amin'ny vondrona lehibe rehefa tsy ampy ny fotoana handraisan'ny mpikambana rehetra ao amin'ny vondrona anjara amin'ny forum vondrona feno. Amin'ity toe-javatra ity, alao antoka fa ny vondrona tsirairay dia manana mpandray anjara misolo tena ny hevitra sy ny fomba fijery samihafa."
p74,Fanontaniana Momba Ny Vondrona Mifantoka
p75,"Atombohy ny vondrona ifantohana amin'ny fampahafantarana ny tenanao, ny tetikasa ary ny tanjon'ny fivoriana. Avy eo, asaivo mampahafantatra ny tenany ny olona rehetra ao amin'ny efitrano. Drafitra ny fomba tsara indrindra ho an'ny fanontaniana tsirairay mba hiteraka sy hanangona valiny mialoha (jereo ny fizarana etsy ambony ho an'ny hevitra). Azafady mba jereo ny antontan-Taratasy Fanadihadiana Momba ny Mombamomba ny Vondrom-piarahamonina ho an'ny lisitra feno momba ny fanontaniana momba ny vondrona ifantohana."
p76,Fitaovana fanamorana (misy amin'ny teny anglisy)
