key,sw
t1.171,"Mwisho urefu wa juu (cm) kwa aina kutumika katika mahesabu, ama kutoka 'lmax' safu au 'lmax_tl' safu kulingana na aina ya urefu taka."
t1.172,"Mahesabu ' loo 'thamani kwa kutumia 'final_lmax' thamani katika formula "" = ( 10^(0.044 + 0.9841 *LOG10 (final_lmax)))"""
t1.173,"Urefu katika ukomavu inakadiriwa kutumia thamani mahesabu kutoka safu calc_loo, kwa kutumia formula""=(10^(0.8979 *LOG10(calc_loo) - 0.0782))"""
t1.174,Urefu wa mwisho katika ukomavu (cm) thamani kulingana na hesabu katika 'calc_lmat' safu rounded kwa karibu kumi.
t1.175,"Mahesabu ya kuamua kikomo cha urefu wa chini, auto-mahesabu Katika Smartsheet kutumia formula ""=[final_lmat]@row * 0.5"""
t1.176,"Kikomo cha urefu wa juu (cm) kinachotumiwa kwa maonyo ya thamani kulingana na thamani ya 'final_lmax', iliyohesabiwa kiotomatiki Katika Smartsheet kwa kutumia fomula ""=[final_lmax]@row"""
t1.177,"Kikomo cha urefu wa chini (cm) kinachotumiwa kwa maonyo ya thamani kulingana na thamani ya' calc_limit_min', iliyohesabiwa kiotomatiki Katika Smartsheet kwa kutumia fomula ""=[calc_limit_min]@row"""
t1.178,"Kiwango cha juu cha uzito (kg) kutumika kwa ajili ya onyo thamani kulingana na 'length_limit_max', 'a', na ' b 'maadili, auto-mahesabu katika Smartsheet kutumia formula"" =(([length_limit_max]@row ^ b@row) * a@row) / 1000"""
t1.179,"Kiwango cha chini cha uzito (kg) kutumika kwa ajili ya onyo thamani kulingana na 'length_limit_min', 'a', na ' b 'maadili, auto-mahesabu katika Smartsheet kutumia formula"" =(([length_limit_min]@row ^ b@row) * a@row) / 1000"""
t1.180,"Wastani wa uzito (kg), auto-mahesabu Katika Smartsheet kutumia formula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"""
t1.181,Rejea au fomula ya thamani ya' avg_weight'
t1.182,"KWELI / SASA (1) AU UONGO/HAIPO (0), inayotokana na safu ya 'Oceanic' katika fishbase 'ecology' tbl."
t1.183,"KWELI / SASA (1) AU UONGO/HAIPO (0), inayotokana na safu Ya 'CoralReefs' katika fishbase 'ecology' tbl."
t1.184,"KWELI / SASA (1) AU UONGO/HAIPO (0), inayotokana na safu ya 'Mangroves' katika fishbase 'ecology' tbl."
t1.185,"KWELI / SASA (1) AU UONGO/HAIPO (0), inayotokana na safu ya 'SeaGrassBeds' katika fishbase 'ecology' tbl."
t1.186,"KWELI / SASA (1) AU UONGO/HAIPO (0), inayotokana na safu ya 'Matope' katika fishbase 'ecology' tbl."
t1.187,"KWELI / SASA (1) AU UONGO/HAIPO (0), inayotokana na safu ya 'Mchanga' katika fishbase 'ecology' tbl."
t1.188,"KWELI/SASA (1) au UONGO / HAIPO (0), inayotokana na safu Ya 'Estuaries' katika fishbase 'ecology' tbl."
faq,Maswali Yanayoulizwa Mara Kwa Mara:
q1,"Mara tu ninapoongeza admin1 mpya, inachukua muda gani kabla ya kuonekana kwenye kushuka kwa admin2?"
a1,"Itachukua takriban dakika 15 kabla ya maingizo mapya kupatikana katika kushuka kwa nguvu. Hii inatumika kwa admin2 dropdown katika admin3_ref, species_group dropdown katika gear_ref, admin3 dropdown katika buyer_ref, fisher_ref, data_collector, nk. Tazama Kielelezo 5 kwa orodha kamili ya kushuka kwa nguvu na mtiririko wao wa kazi kupitia faili za kumbukumbu."
q2,"Mara tu ninapoongeza au kusasisha faili ya kumbukumbu, inachukua muda gani kabla ya sasisho kuonekana kwenye Tafiti Za Kobo?"
a2,Unapaswa kuona Fomu iliyosasishwa Ya Kobo kwa takriban masaa 12-24.
q3,"Majina ya wanunuzi, wavuvi na watoza data yanapaswa kurekodiwaje?"
a3,"Kwa kweli, majina yanapaswa kuwa ya kipekee iwezekanavyo kwa mtu binafsi na ni pamoja na jina lao la kwanza, jina la mwisho na jina la utani. Ikiwa mtu hataki kushiriki jina lake kamili la mwisho unaweza pia kutumia herufi ya kwanza au ya kwanza ya jina lao la mwisho."
fig5,Dynamic dropdown uhusiano kati ya files kumbukumbu.
